iter	Logloss
0	0.6876143318
1	0.6827827903
2	0.6765243356
3	0.669772939
4	0.6645173464
5	0.6610428861
6	0.657643244
7	0.6523222627
8	0.6477497715
9	0.6445866614
10	0.6398953848
11	0.6356390162
12	0.6309051435
13	0.6277161988
14	0.6225279015
15	0.6186335316
16	0.6146940805
17	0.6108498017
18	0.6060158623
19	0.6018571401
20	0.5976928255
21	0.594641364
22	0.5904497138
23	0.5858193058
24	0.5813994131
25	0.5772117358
26	0.5741343622
27	0.5704220472
28	0.5668283635
29	0.5641086368
30	0.5617535465
31	0.5577814981
32	0.5545408127
33	0.5520663995
34	0.5503724208
35	0.547848136
36	0.5444149964
37	0.540753407
38	0.5392166837
39	0.5377131941
40	0.5352653367
41	0.5325754157
42	0.5296392081
43	0.5267058031
44	0.5250722969
45	0.5230559292
46	0.5217872587
47	0.5197769708
48	0.5174671156
49	0.5151492066
50	0.5139963986
51	0.5118790021
52	0.5101161783
53	0.507865424
54	0.5060314463
55	0.5039963169
56	0.5017978878
57	0.5002822756
58	0.4981002569
59	0.4966602646
60	0.4947975124
61	0.4929522249
62	0.4909909903
63	0.4888913377
64	0.4874988169
65	0.4859092632
66	0.4837772652
67	0.4818014755
68	0.4798713311
69	0.4786733799
70	0.476930281
71	0.4750630035
72	0.4733910392
73	0.4725600811
74	0.4707998937
75	0.4701026054
76	0.4690714305
77	0.4679703998
78	0.4667198775
79	0.4653757651
80	0.464207767
81	0.4626545066
82	0.4612516683
83	0.4600240516
84	0.4586944621
85	0.4575604303
86	0.4559085055
87	0.4543853696
88	0.4533725364
89	0.4523084928
90	0.4517456703
91	0.4506693795
92	0.4502488884
93	0.4497600733
94	0.4484385855
95	0.4472709522
96	0.4461887093
97	0.4456354583
98	0.4445932741
99	0.4434695989
100	0.4423055579
101	0.4413707021
102	0.4409063824
103	0.4404546746
104	0.4399259346
105	0.4390199406
106	0.4385047753
107	0.4377694944
108	0.4375589123
109	0.4370427149
110	0.4368675503
111	0.4362856701
112	0.4355165183
113	0.4347459864
114	0.4337685976
115	0.4326442498
116	0.4317366775
117	0.4310445873
118	0.4299709033
119	0.4297617769
120	0.4295190892
121	0.4287527328
122	0.4278962012
123	0.4273454798
124	0.4266215479
125	0.4259201694
126	0.4254386081
127	0.4249883327
128	0.4243246657
129	0.423650042
130	0.4231957169
131	0.4227497176
132	0.422130665
133	0.4211276857
134	0.420273579
135	0.4193785511
136	0.4191353585
137	0.418303988
138	0.4178918496
139	0.417398158
140	0.4168526207
141	0.4163708227
142	0.4159881529
143	0.415363491
144	0.4150410365
145	0.4143227903
146	0.4136409735
147	0.4134295576
148	0.4130686315
149	0.4123505036
150	0.4117004906
151	0.4111120246
152	0.4103783675
153	0.4097799519
154	0.40937969
155	0.4091001624
156	0.4087985799
157	0.4086975575
158	0.4082732236
159	0.4078960537
160	0.407453817
161	0.4070369434
162	0.406556546
163	0.4059008564
164	0.4054021335
165	0.4048316122
166	0.404639007
167	0.4043979328
168	0.4039508712
169	0.4036251718
170	0.4031661649
171	0.4027100789
172	0.4024287991
173	0.4020811331
174	0.4016176844
175	0.4011643746
176	0.4007487114
177	0.4005827043
178	0.4004411198
179	0.3998787613
180	0.3995247123
181	0.3994063498
182	0.3990280726
183	0.3985806588
184	0.3982877939
185	0.3979374211
186	0.3977459684
187	0.3975113756
188	0.3972201187
189	0.3969463295
190	0.3967331146
191	0.3961421484
192	0.3960081797
193	0.3958811691
194	0.3957323948
195	0.3955377971
196	0.3950636186
197	0.3945797747
198	0.3940501159
199	0.3938283294
200	0.3934324513
201	0.3933731984
202	0.3931485418
203	0.3929330546
204	0.3929243115
205	0.392557774
206	0.3924798136
207	0.3921058259
208	0.3918416761
209	0.3915553981
210	0.391002581
211	0.3906443986
212	0.3902696586
213	0.3899848237
214	0.3894454393
215	0.3891731283
216	0.3884341377
217	0.3882593762
218	0.388029328
219	0.3876833582
220	0.3875279586
221	0.387356183
222	0.3872618403
223	0.3869156939
224	0.386594008
225	0.3862769785
226	0.3858599426
227	0.3857067455
228	0.3854177045
229	0.3848924183
230	0.3846871165
231	0.3844528102
232	0.384413229
233	0.3843395169
234	0.3840000881
235	0.383577746
236	0.3831990167
237	0.3829632372
238	0.382825499
239	0.3826204855
240	0.3824814215
241	0.3823693104
242	0.3820485742
243	0.3819112235
244	0.3817186383
245	0.3816088196
246	0.3812934909
247	0.381000742
248	0.3808569023
249	0.3808260149
250	0.3807490502
251	0.380476384
252	0.3801519819
253	0.3798139336
254	0.3795502886
255	0.3792096353
256	0.3791263086
257	0.3787846318
258	0.3787332043
259	0.3785950402
260	0.3784301998
261	0.3783315066
262	0.3781146639
263	0.3780055299
264	0.3779407532
265	0.3777285179
266	0.3774716064
267	0.3773070868
268	0.3771169511
269	0.3769991216
270	0.3768394473
271	0.3766255797
272	0.3762266021
273	0.3758962905
274	0.3756794155
275	0.375466819
276	0.3752200075
277	0.3750757519
278	0.3750737216
279	0.3749460183
280	0.374747781
281	0.3746523307
282	0.3743892943
283	0.3743082958
284	0.374289489
285	0.3742108487
286	0.3739780075
287	0.3735374266
288	0.3734128353
289	0.3733636376
290	0.3731891426
291	0.372928958
292	0.3727767907
293	0.3725427597
294	0.3723434723
295	0.3720695989
296	0.3717950659
297	0.3717059945
298	0.3715085413
299	0.3713173108
300	0.3707626982
301	0.3706421255
302	0.3703074104
303	0.3701863447
304	0.3700129146
305	0.3698225522
306	0.3695008635
307	0.3692988792
308	0.3692390712
309	0.3690083679
310	0.3686196156
311	0.3684849832
312	0.3683345984
313	0.3680082978
314	0.3676951459
315	0.3675430756
316	0.3674288902
317	0.3671561083
318	0.3670118081
319	0.3668699387
320	0.3667445924
321	0.3665787619
322	0.3664367621
323	0.3661318077
324	0.3660662717
325	0.3658819152
326	0.3656433221
327	0.3653869038
328	0.3652243687
329	0.3647158499
330	0.364481824
331	0.3641452754
332	0.3638443366
333	0.3636669152
334	0.3635363686
335	0.3634376734
336	0.3631945023
337	0.3629784273
338	0.3629108056
339	0.3626290333
340	0.362565671
341	0.3625079664
342	0.3624975711
343	0.3623983964
344	0.3622373369
345	0.3621597413
346	0.3619931846
347	0.3619165724
348	0.3618630061
349	0.3616865941
350	0.3615086325
351	0.3613703422
352	0.3609863538
353	0.360826496
354	0.3606142385
355	0.360578686
356	0.3604069911
357	0.3603668452
358	0.3601428488
359	0.3599228285
360	0.3597141652
361	0.3595228609
362	0.3591516412
363	0.3589235261
364	0.3586952721
365	0.3586462382
366	0.3585829585
367	0.3585141215
368	0.3584584129
369	0.3583672822
370	0.3581289343
371	0.357730638
372	0.3576199763
373	0.3573345417
374	0.3572071456
375	0.3571017962
376	0.3569544132
377	0.3568259721
378	0.3567578057
379	0.3565708957
380	0.3565378009
